complaint_text,category
How long do we have to tolerate this subside pavement dangerous for pedestrians footpath?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Road Damage
It has been observed that valve chamber completely flooded is present footpath. A regular inspection and subsequent repair should be scheduled by the concerned department.,Water Leakage
Could you please look into the leaking control valve spraying water near the bus stop? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Water Leakage
Could you please look into the cracked and eroding asphalt surface residential area? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Road Damage
It is deeply distressing to see overflowing bins spilling onto the pavement bridge approach. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
It has been observed that plastic bottles blocking the sidewalk is present outside the hospital. A regular inspection and subsequent renovate should be scheduled by the concerned department.,Garbage
This is to bring to your kind notice that there is an issue with overflowing bins spilling onto the pavement situated near the bus stop. Kindly arrange for an immediate mend.,Garbage
"Hey, underground pipe crack seeping through concrete shopping complex. Can someone please come and rectify it as soon as possible?",Water Leakage
It is deeply distressing to see gushing water from broken main line government office back alley. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Water Leakage
Could you please look into the severe road erosion due to rains temple street? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Road Damage
Why has the supply line joint broken highway lane not been attended to yet? Who is responsible for this civic neglect?,Water Leakage
illegal dumping of construction debris highway lane.,Garbage
Why has the household garbage thrown in open plots residential area not been attended to yet? Who is responsible for this civic neglect?,Garbage
"Hey, stray animals tearing up garbage bags near the bus stop. Can someone please come and remove it as soon as possible?",Garbage
It is deeply distressing to see dirty water backing up into household toilets near the school. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Drainage Blockage
This is to bring to your kind notice that there is an issue with severely blocked sewer causing backflow situated outside the hospital. Kindly arrange for an immediate attend to.,Drainage Blockage
It has been observed that exposed iron rods from broken pavement is present railway station gate. A regular inspection and subsequent check should be scheduled by the concerned department.,Road Damage
This is to bring to your kind notice that there is an issue with dry leaves blocking the drainage grate situated main crossroad. Kindly arrange for an immediate rectify.,Drainage Blockage
How long do we have to tolerate this tar peeling off completely outside the hospital?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Road Damage
It has been observed that construction damage left unrepaired is present service road. A regular inspection and subsequent mend should be scheduled by the concerned department.,Road Damage
"Hey, rotting food waste attracting stray dogs near the school. Can someone please come and mend it as soon as possible?",Garbage
gutter overflowing onto the walking path main crossroad.,Drainage Blockage
Why has the cracked and eroding asphalt surface bridge approach not been attended to yet? Who is responsible for this civic neglect?,Road Damage
"Hey, swarm of insects and flies everywhere government office back alley. Can someone please come and overhaul it as soon as possible?",Garbage
Could you please look into the LED panel failure resulting in zero illumination main crossroad? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Streetlight Fault
How long do we have to tolerate this uncleared trash piles creating unhygienic conditions bridge approach?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
Could you plz look into the broken electric pole leaning dangerously village square? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Streetlight Fault
This is to bring to your kind notice that there is an issue with foul odor making it impossible to breathe situated highway lane. Kindly arrange for an immediate overhaul.,Garbage
This is to bring to your kind notice that there is an issue with LED panel failure resulting in zero illumination situated temple street. Kindly arrange for an immediate patch up.,Streetlight Fault
