complaint_text,category
Utility_Excavation,Road Damage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
"While passing by metro station exit yesterday, I noticed a severe case of constant dripping from connection point. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
Pavement_Defect,Road Damage
This is to bring to your kind notice that there is an issue with overhead municipal tank overflowing situated near the school. Kindly arrange for an immediate resolve.,Water Leakage
Outofsewervent4inch,Drainage Blockage
On_property,Drainage Blockage
Other Loose Garbage,Garbage
Construction_Plate_Shifted,Road Damage
Outofsewervent4inch,Drainage Blockage
loose gravel causing bikes to slip industrial zone.,Road Damage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
It is deeply distressing to see illegal dumping of construction debris outside the hospital. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
Outofsewervent4inch,Drainage Blockage
Water_main,Water Leakage
Other,Water Leakage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Street_Cleaning - Garbage,Garbage
Light_On_all_the_time on Metal Pole,Streetlight Fault
Human Waste,Garbage
Furniture,Garbage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Water_leak Water_leak,Water Leakage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Human Waste,Garbage
Contained Hazardous Waste,Garbage
Outofsewervent4inch,Drainage Blockage
Could you please look into the dry leaves blocking the drainage grate temple street? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
Pavement_Defect,Road Damage
"While passing by highway lane yesterday, I noticed a severe case of no streetlighting making it unsafe for women. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Streetlight Fault
Furniture,Garbage
Light_Glass_Cover_Hanging on Metal Pole,Streetlight Fault
Other,Water Leakage
Other,Water Leakage
Pavement_Defect,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
damaged fire hydrant leaking continuously temple street.,Water Leakage
Outofsewervent4inch,Drainage Blockage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Illegal_Dumping - Garbage,Garbage
Utility_Excavation,Road Damage
How long do we have to tolerate this foul odor making it impossible to breathe industrial zone?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Garbage,Garbage
Other,Water Leakage
Pavement_Defect,Road Damage
Water_leak Water_leak,Water Leakage
It is deeply distressing to see huge dangerous potholes residential area. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Road Damage
Other,Water Leakage
"Hey, fountain of water from construction puncture industrial zone. Can someone please come and rectify it as soon as possible?",Water Leakage
This is to bring to your kind notice that there is an issue with partially collapsed section of the road situated temple street. Kindly arrange for an immediate fix.,Road Damage
Missing_liner,Garbage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Other Loose Garbage,Garbage
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Water_main,Water Leakage
Water_coming_out,Drainage Blockage
Other Loose Garbage,Garbage
Light_Glass_Cover_Hanging on Unknown Pole,Streetlight Fault
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Glass,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
"While passing by bridge approach yesterday, I noticed a severe case of precious drinking water lost for hours. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
Other,Water Leakage
Pavement_Defect,Road Damage
Boxed or Bagged Items,Garbage
Furniture,Garbage
Other,Water Leakage
It has been observed that rainwater drainage system completely choked is present village square. A regular inspection and subsequent fix should be scheduled by the concerned department.,Drainage Blockage
Other,Water Leakage
Utility_Excavation,Road Damage
Human Waste,Garbage
Mattress,Garbage
I am writing this to report a persistent problem regarding transformer issue affecting all street poles railway station gate. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary look into at the earliest opportunity to prevent further hazards.,Streetlight Fault
Sewage_back_up Outofsewervent4inch,Drainage Blockage
How long do we have to tolerate this stagnant black water emitting foul smell outside the hospital?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Drainage Blockage
Needles,Garbage
Illegal_Dumping,Garbage
Outofsewervent4inch,Drainage Blockage
Water_main,Water Leakage
Other Loose Garbage,Garbage
Other on Trolley Pole,Streetlight Fault
"While passing by railway station gate yesterday, I noticed a severe case of household garbage thrown in open plots. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Pavement_Defect,Road Damage
supply line joint broken near the school.,Water Leakage
Other,Water Leakage
Water_main,Water Leakage
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
Carts,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
dead animal causing terrible smell temple street.,Garbage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Glass,Garbage
Outofsewervent4inch,Drainage Blockage
Furniture,Garbage
On_property,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Utility_Excavation,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Other,Water Leakage
Other,Water Leakage
Pavement_Defect,Road Damage
Water_main,Water Leakage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Pole_Wires_Exposed on TrafficSignal Pole,Streetlight Fault
I am writing this to report a persistent problem regarding rotting food waste attracting stray dogs public park corner. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary resolve at the earliest opportunity to prevent further hazards.,Garbage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Encampment Cleanup,Garbage
Garbage,Garbage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Why has the timer malfunction turning lights off early near the bus stop not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
This is to bring to your kind notice that there is an issue with water meter leakage wasting clean water situated government office back alley. Kindly arrange for an immediate mend.,Water Leakage
I am writing this to report a persistent problem regarding loose gravel causing bikes to slip village square. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary fix at the earliest opportunity to prevent further hazards.,Road Damage
Pavement_Defect,Road Damage
Manhole_Cover_Off,Road Damage
Light_On_all_the_time on Metal Pole,Streetlight Fault
Other,Water Leakage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
How long do we have to tolerate this timer malfunction turning lights off early near the bus stop?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Streetlight Fault
Other Loose Garbage,Garbage
Other on Metal Pole,Streetlight Fault
Mattress,Garbage
Pavement_Defect,Road Damage
Water_main,Water Leakage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Sidewalk_Cleaning - Human_waste_or_urine,Garbage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Water_main,Water Leakage
Outofsewervent4inch,Drainage Blockage
Water_main,Water Leakage
Mattress,Garbage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Garbage,Garbage
Manhole_Cover_Off,Road Damage
Pavement_Defect,Road Damage
Construction_Plate_Shifted,Road Damage
Pavement_Defect,Road Damage
Other Loose Garbage,Garbage
Refrigerator,Garbage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Out_of_manhole_cover,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
It has been observed that construction damage left unrepaired is present service road. A regular inspection and subsequent mend should be scheduled by the concerned department.,Road Damage
Utility_Excavation,Road Damage
Pavement_Defect,Road Damage
Other,Water Leakage
Pavement_Defect,Road Damage
Human Waste,Garbage
Other,Water Leakage
Other,Water Leakage
Water_leak Water_leak,Water Leakage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Other,Water Leakage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Other,Water Leakage
Other,Water Leakage
Light_Burnt_Out on Metal Pole,Streetlight Fault
It has been observed that subterranean leak forming a sinkhole is present near the school. A regular inspection and subsequent clean should be scheduled by the concerned department.,Water Leakage
Refrigerator,Garbage
On_street,Drainage Blockage
On_street,Drainage Blockage
Light_Glass_Cover_Hanging on Unknown Pole,Streetlight Fault
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Pavement_Defect,Road Damage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other on Metal Pole,Streetlight Fault
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Paper Spill,Garbage
Other Loose Garbage,Garbage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Garbage,Garbage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Furniture,Garbage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
On_street,Drainage Blockage
Overflowing_City_Receptacle_or_Dumpster - NA,Garbage
Other Loose Garbage,Garbage
Water_coming_out,Drainage Blockage
Light_Burnt_Out on Unknown Pole,Streetlight Fault
Pavement_Defect,Road Damage
Other Loose Garbage,Garbage
Garbage,Garbage
On_property,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Water_main,Water Leakage
Pavement_Defect,Road Damage
Pavement_Defect,Road Damage
It is deeply distressing to see rotting food waste attracting stray dogs apartment entrance. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Garbage
Overflowing_City_Receptacle_or_Dumpster,Garbage
Pavement_Defect,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
overflowing dumpsters catching fire main crossroad.,Garbage
Other,Water Leakage
Encampment Cleanup,Garbage
Pavement_Defect,Road Damage
Other,Water Leakage
Boxed or Bagged Items,Garbage
On_property,Drainage Blockage
On_street,Drainage Blockage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Other on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Could you please look into the stagnant black water emitting foul smell by the market? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
Water_main,Water Leakage
Sewage_back_up Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Water_main,Water Leakage
Outofsewervent4inch,Drainage Blockage
Other on Metal Pole,Streetlight Fault
Manhole_Cover_Off,Road Damage
Garbage,Garbage
Pavement_Defect,Road Damage
I am writing this to report a persistent problem regarding entire lane washed away bridge approach. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary fix at the earliest opportunity to prevent further hazards.,Road Damage
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Out_of_catch_basin,Drainage Blockage
Other Loose Garbage,Garbage
Other,Water Leakage
Other Loose Garbage,Garbage
Other,Water Leakage
Water_main,Water Leakage
Boxed or Bagged Items,Garbage
Sidewalk_Cleaning,Garbage
Light_Flickering_On_Off on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Out_of_manhole_cover,Drainage Blockage
Pavement_Defect,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Other,Water Leakage
Water_main,Water Leakage
On_property,Drainage Blockage
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Mattress,Garbage
It is deeply distressing to see entire street dark for five consecutive nights by the market. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow-ups.,Streetlight Fault
Other Loose Garbage,Garbage
Utility_Excavation,Road Damage
Light_Flickering_On_Off on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Pavement_Defect,Road Damage
Other,Water Leakage
Light_Flickering_On_Off on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Furniture,Garbage
Pavement_Defect,Road Damage
On_street,Drainage Blockage
Furniture,Garbage
Other_Request_New_Streetlight on Unknown Pole,Streetlight Fault
Other,Water Leakage
Other,Water Leakage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
This is to bring to your kind notice that there is an issue with bracket arm broken and dangling situated public park corner. Kindly arrange for an immediate attend to.,Streetlight Fault
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
On_street,Drainage Blockage
Carts,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
Other,Water Leakage
Missing_liner,Garbage
Pavement_Defect,Road Damage
City_garbage_can_overflowing,Garbage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Water_coming_out,Drainage Blockage
Pavement_Defect,Road Damage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
On_street,Drainage Blockage
Pavement_Defect,Road Damage
Light_Flickering_On_Off on Metal Pole,Streetlight Fault
