complaint_text,category
Water_main,Water Leakage
Pavement_Defect,Road Damage
Light_On_all_the_time on Metal Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Human_waste_or_urine,Garbage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Manhole_Cover_Off,Road Damage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Pavement_Defect,Road Damage
Boxed or Bagged Items,Garbage
On_street,Drainage Blockage
Boxed or Bagged Items,Garbage
Other,Water Leakage
On_property,Drainage Blockage
Pavement_Defect,Road Damage
Construction_Plate_Shifted,Road Damage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Pavement_Defect,Road Damage
Other Loose Garbage,Garbage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Electronics_w_monitor_21_inches_and_over,Garbage
Other,Water Leakage
Other,Water Leakage
Pavement_Defect,Road Damage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Pole_Leaning on Wooden Pole,Streetlight Fault
Other,Water Leakage
Other,Water Leakage
Water_main,Water Leakage
Water_main,Water Leakage
Pavement_Defect,Road Damage
On_street,Drainage Blockage
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Refrigerator,Garbage
Other Loose Garbage,Garbage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
Outofsewervent4inch,Drainage Blockage
On_street,Drainage Blockage
Other,Water Leakage
Other Loose Garbage,Garbage
Other,Water Leakage
Carts,Garbage
On_property,Drainage Blockage
On_street,Drainage Blockage
Human Waste,Garbage
Manhole_Cover_Off,Road Damage
Utility_Excavation,Road Damage
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Other Loose Garbage,Garbage
Other,Water Leakage
Other,Water Leakage
Light_Flickering_On_Off on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Light_Burnt_Out on Concrete Pole,Streetlight Fault
Other,Water Leakage
Water_leak Water_leak,Water Leakage
Light_Burnt_Out on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Light_Flickering_On_Off on Concrete Pole,Streetlight Fault
Outofsewervent4inch,Drainage Blockage
Sidewalk_Cleaning,Garbage
Other,Water Leakage
Pavement_Defect,Road Damage
Furniture,Garbage
Other on Metal Pole,Streetlight Fault
Pavement_Defect,Road Damage
Other,Water Leakage
Other,Water Leakage
Other,Water Leakage
Pavement_Defect,Road Damage
Out_of_manhole_cover,Drainage Blockage
Garbage,Garbage
Other,Water Leakage
Other,Water Leakage
Outofsewervent4inch,Drainage Blockage
Furniture,Garbage
Garbage,Garbage
Light_Flickering_On_Off on Metal Pole,Streetlight Fault
Light_Burnt_Out on Wooden Pole,Streetlight Fault
Human Waste,Garbage
