complaint_text,category
Utility Excavation,Road Damage
Light Burnt Out on Wooden Pole,Streetlight Fault
"While passing by metro station exit yesterday, I noticed a severe case of constant dripping from connection point. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
Pavement Defect,Road Damage
This is to bring to your kind notice that there is an issue with overhead municipal tank overflowing situated near the school. Kindly arrange for an immediate resolve.,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
On property,Drainage Blockage
Other Loose Garbage,Garbage
Construction Plate Shifted,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
loose gravel causing bikes to slip industrial zone.,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
It is deeply distressing to see illegal dumping of construction debris outside the hospital. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow ups,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Water main,Water Leakage
Other,Water Leakage
Light Burnt Out on Wooden Pole,Streetlight Fault
Light Burnt Out on Metal Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Street Cleaning - Garbage,Garbage
Light On all the time on Metal Pole,Streetlight Fault
Human Waste,Garbage
Furniture,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
Water leak Water leak,Water Leakage
Light Burnt Out on Metal Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Human Waste,Garbage
Contained Hazardous Waste,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Could you please look into the dry leaves blocking the drainage grate temple street? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
Pavement Defect,Road Damage
"While passing by highway lane yesterday, I noticed a severe case of no street lighting making it unsafe for women. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Streetlight Fault
Furniture,Garbage
Light Glass Cover Hanging on Metal Pole,Streetlight Fault
Other,Water Leakage
Other,Water Leakage
Pavement Defect,Road Damage
Light Burnt Out on Metal Pole,Streetlight Fault
damaged fire hydrant leaking continuously temple street.,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Illegal Dumping - Garbage,Garbage
Utility Excavation,Road Damage
How long do we have to tolerate this foul odor making it impossible to breathe industrial zone?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Garbage
Light Burnt Out on Metal Pole,Streetlight Fault
Garbage,Garbage
Other,Water Leakage
Pavement Defect,Road Damage
Water leak Water leak,Water Leakage
It is deeply distressing to see huge dangerous potholes residential area. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow ups,Road Damage
Other,Water Leakage
"Hey, fountain of water from construction puncture industrial zone. Can someone please come and rectify it as soon as possible?",Water Leakage
This is to bring to your kind notice that there is an issue with partially collapsed section of the road situated temple street. Kindly arrange for an immediate fix.,Road Damage
Missing liner,Garbage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Other Loose Garbage,Garbage
Light Burnt Out on Concrete Pole,Streetlight Fault
Water main,Water Leakage
Water coming out,Drainage Blockage
Other Loose Garbage,Garbage
Light Glass Cover Hanging on Unknown Pole,Streetlight Fault
Light Burnt Out on Unknown Pole,Streetlight Fault
Glass,Garbage
Light Burnt Out on Metal Pole,Streetlight Fault
"While passing by bridge approach yesterday, I noticed a severe case of precious drinking water lost for hours. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Water Leakage
Other,Water Leakage
Pavement Defect,Road Damage
Boxed or Bagged Items,Garbage
Furniture,Garbage
Other,Water Leakage
It has been observed that rainwater drainage system completely choked is present village square. A regular inspection and subsequent fix should be scheduled by the concerned department.,Drainage Blockage
Other,Water Leakage
Utility Excavation,Road Damage
Human Waste,Garbage
Mattress,Garbage
I am writing this to report a persistent problem regarding transformer issue affecting all street poles railway station gate. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary look into at the earliest opportunity to prevent further hazards.,Streetlight Fault
Sewage back up Out of sewer vent 4 inch,Drainage Blockage
How long do we have to tolerate this stagnant black water emitting foul smell outside the hospital?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Drainage Blockage
Needles,Garbage
Illegal Dumping,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Water main,Water Leakage
Other Loose Garbage,Garbage
Other on Trolley Pole,Streetlight Fault
"While passing by railway station gate yesterday, I noticed a severe case of household garbage thrown in open plots. It looked quite dangerous and seemed like it had been neglected for quite some time, so I decided to raise a formal report.",Garbage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Pavement Defect,Road Damage
supply line joint broken near the school.,Water Leakage
Other,Water Leakage
Water main,Water Leakage
Other,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
Carts,Garbage
Light Burnt Out on Metal Pole,Streetlight Fault
dead animal causing terrible smell temple street.,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Other,Water Leakage
Glass,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Furniture,Garbage
On property,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
Utility Excavation,Road Damage
Light Burnt Out on Metal Pole,Streetlight Fault
Pavement Defect,Road Damage
Other,Water Leakage
Other,Water Leakage
Pavement Defect,Road Damage
Water main,Water Leakage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Pole Wires Exposed on Traffic Signal Pole,Streetlight Fault
I am writing this to report a persistent problem regarding rotting food waste attracting stray dogs public park corner. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary resolve at the earliest opportunity to prevent further hazards.,Garbage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Encampment Cleanup,Garbage
Garbage,Garbage
Light Burnt Out on Wooden Pole,Streetlight Fault
Light Burnt Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Why has the timer malfunction turning lights off early near the bus stop not been attended to yet? Who is responsible for this civic neglect?,Streetlight Fault
Light Burnt Out on Metal Pole,Streetlight Fault
Pavement Defect,Road Damage
This is to bring to your kind notice that there is an issue with water meter leakage wasting clean water situated government office back alley. Kindly arrange for an immediate mend.,Water Leakage
I am writing this to report a persistent problem regarding loose gravel causing bikes to slip village square. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary fix at the earliest opportunity to prevent further hazards.,Road Damage
Pavement Defect,Road Damage
Manhole Cover Off,Road Damage
Light On all the time on Metal Pole,Streetlight Fault
Other,Water Leakage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
How long do we have to tolerate this timer malfunction turning lights off early near the bus stop?! This is an absolute failure of civic maintenance. Fix it immediately without any more excuses!,Streetlight Fault
Other Loose Garbage,Garbage
Other on Metal Pole,Streetlight Fault
Mattress,Garbage
Pavement Defect,Road Damage
Water main,Water Leakage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Light Burnt Out on Wooden Pole,Streetlight Fault
Light Burnt Out on Unknown Pole,Streetlight Fault
Sidewalk Cleaning - Human waste or urine,Garbage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
Light Burnt Out on Wooden Pole,Streetlight Fault
Water main,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
Water main,Water Leakage
Mattress,Garbage
Light Burnt Out on Wooden Pole,Streetlight Fault
Garbage,Garbage
Manhole Cover Off,Road Damage
Pavement Defect,Road Damage
Construction Plate Shifted,Road Damage
Pavement Defect,Road Damage
Other Loose Garbage,Garbage
Refrigerator,Garbage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Out of manhole cover,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
It has been observed that construction damage left un repaired is present service road. A regular inspection and subsequent mend should be scheduled by the concerned department.,Road Damage
Utility Excavation,Road Damage
Pavement Defect,Road Damage
Other,Water Leakage
Pavement Defect,Road Damage
Human Waste,Garbage
Other,Water Leakage
Other,Water Leakage
Water leak Water leak,Water Leakage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Light Burnt Out on Unknown Pole,Streetlight Fault
Other,Water Leakage
Light Burnt Out on Wooden Pole,Streetlight Fault
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
Other,Water Leakage
Other,Water Leakage
Light Burnt Out on Metal Pole,Streetlight Fault
It has been observed that subterranean leak forming a sinkhole is present near the school. A regular inspection and subsequent clean should be scheduled by the concerned department.,Water Leakage
Refrigerator,Garbage
On street,Drainage Blockage
On street,Drainage Blockage
Light Glass Cover Hanging on Unknown Pole,Streetlight Fault
Light Burnt Out on Concrete Pole,Streetlight Fault
Pavement Defect,Road Damage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Other on Metal Pole,Streetlight Fault
Light Burnt Out on Concrete Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Paper Spill,Garbage
Other Loose Garbage,Garbage
Light Flickering On Off on Wooden Pole,Streetlight Fault
Garbage,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
Furniture,Garbage
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Other,Water Leakage
On street,Drainage Blockage
Overflowing City Receptacle or Dumpster - NA,Garbage
Other Loose Garbage,Garbage
Water coming out,Drainage Blockage
Light Burnt Out on Unknown Pole,Streetlight Fault
Pavement Defect,Road Damage
Other Loose Garbage,Garbage
Garbage,Garbage
On property,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Water main,Water Leakage
Pavement Defect,Road Damage
Pavement Defect,Road Damage
It is deeply distressing to see rotting food waste attracting stray dogs apartment entrance. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow ups,Garbage
Overflowing City Receptacle or Dumpster,Garbage
Pavement Defect,Road Damage
Light Burnt Out on Metal Pole,Streetlight Fault
overflowing dumpster s catching fire main crossroad.,Garbage
Other,Water Leakage
Encampment Cleanup,Garbage
Pavement Defect,Road Damage
Other,Water Leakage
Boxed or Bagged Items,Garbage
On property,Drainage Blockage
On street,Drainage Blockage
Light Burnt Out on Wooden Pole,Streetlight Fault
Other on Metal Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Could you please look into the stagnant black water emitting foul smell by the market? Your timely assistance in getting this resolved would be highly appreciated by everyone in the neighborhood.,Drainage Blockage
Water main,Water Leakage
Sewage back up Out of sewer vent 4 inch,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
Water main,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
Other on Metal Pole,Streetlight Fault
Manhole Cover Off,Road Damage
Garbage,Garbage
Pavement Defect,Road Damage
I am writing this to report a persistent problem regarding entire lane washed away bridge approach. This matter has been causing significant inconvenience to the local residents and commuters for several days now. We earnestly request the competent municipal authority to look into this defect and execute necessary fix at the earliest opportunity to prevent further hazards.,Road Damage
Light Burnt Out on Wooden Pole,Streetlight Fault
Out of catch basin,Drainage Blockage
Other Loose Garbage,Garbage
Other,Water Leakage
Other Loose Garbage,Garbage
Other,Water Leakage
Water main,Water Leakage
Boxed or Bagged Items,Garbage
Sidewalk Cleaning,Garbage
Light Flickering On Off on Metal Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Other,Water Leakage
Out of manhole cover,Drainage Blockage
Pavement Defect,Road Damage
Light Burnt Out on Metal Pole,Streetlight Fault
Light Burnt Out on Concrete Pole,Streetlight Fault
Light Burnt Out on Metal Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
Other,Water Leakage
Water main,Water Leakage
On property,Drainage Blockage
Light Burnt Out on Concrete Pole,Streetlight Fault
Mattress,Garbage
It is deeply distressing to see entire street dark for five consecutive nights by the market. Our children and elderly family members are facing constant trouble and danger due to this. We feel completely ignored by the authorities after multiple follow ups,Streetlight Fault
Other Loose Garbage,Garbage
Utility Excavation,Road Damage
Light Flickering On Off on Metal Pole,Streetlight Fault
Out of sewer vent 4 inch,Drainage Blockage
Pavement Defect,Road Damage
Other,Water Leakage
Light Flickering On Off on Metal Pole,Streetlight Fault
Pavement Defect,Road Damage
Furniture,Garbage
Pavement Defect,Road Damage
On street,Drainage Blockage
Furniture,Garbage
Other Request New Streetlight on Unknown Pole,Streetlight Fault
Other,Water Leakage
Other,Water Leakage
Light Burnt Out on Metal Pole,Streetlight Fault
Pavement Defect,Road Damage
This is to bring to your kind notice that there is an issue with bracket arm broken and dangling situated public park corner. Kindly arrange for an immediate attend to.,Streetlight Fault
Light Flickering On Off on Wooden Pole,Streetlight Fault
Other,Water Leakage
On street,Drainage Blockage
Carts,Garbage
Light Burnt Out on Metal Pole,Streetlight Fault
Light Burnt Out on Metal Pole,Streetlight Fault
Other,Water Leakage
Out of sewer vent 4 inch,Drainage Blockage
Other,Water Leakage
Missing liner,Garbage
Pavement Defect,Road Damage
City garbage can overflowing,Garbage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Water coming out,Drainage Blockage
Pavement Defect,Road Damage
Out of sewer vent 4 inch,Drainage Blockage
Out of sewer vent 4 inch,Drainage Blockage
On street,Drainage Blockage
Pavement Defect,Road Damage
Light Flickering On Off on Metal Pole,Streetlight Fault
Out of catch basin,Drainage Blockage
Pavement Defect,Road Damage
Light Burnt Out on Metal Pole,Streetlight Fault
Water main,Water Leakage
Water main,Water Leakage
"Hey, construction damage left un repaired public park corner. Can someone please come and fix it as soon as possible?",Road Damage
Light Burnt Out on Metal Pole,Streetlight Fault
